,batchsz,lr,width,width_y,depth
0,64.0,0.001,64.0,64.0,6.0
1,64.0,0.001,32.0,32.0,6.0
2,128.0,0.01,512.0,512.0,2.0
3,32.0,0.0001,128.0,128.0,4.0
4,32.0,0.0001,32.0,32.0,6.0
5,64.0,0.01,512.0,512.0,6.0
6,64.0,0.001,256.0,256.0,5.0
7,32.0,0.0001,512.0,512.0,3.0
8,32.0,0.001,128.0,128.0,5.0
9,128.0,0.01,512.0,512.0,2.0
10,64.0,0.01,64.0,64.0,4.0
11,64.0,0.001,32.0,32.0,2.0
12,64.0,0.0001,128.0,128.0,3.0
13,64.0,0.01,512.0,512.0,6.0
14,64.0,0.0001,32.0,32.0,3.0
15,32.0,0.0001,512.0,512.0,5.0
16,128.0,0.001,512.0,512.0,6.0
17,32.0,0.01,32.0,32.0,4.0
18,64.0,0.01,128.0,128.0,5.0
19,128.0,0.0001,128.0,128.0,4.0
20,128.0,0.01,128.0,128.0,6.0
21,64.0,0.0001,512.0,512.0,4.0
22,128.0,0.0001,512.0,512.0,5.0
23,64.0,0.0001,512.0,512.0,2.0
24,64.0,0.0001,256.0,256.0,4.0
25,128.0,0.001,512.0,512.0,5.0
26,32.0,0.0001,512.0,512.0,5.0
27,128.0,0.001,256.0,256.0,2.0
28,64.0,0.01,128.0,128.0,2.0
29,32.0,0.001,512.0,512.0,4.0
30,128.0,0.0001,128.0,128.0,5.0
31,128.0,0.0001,512.0,512.0,6.0
32,32.0,0.001,128.0,128.0,4.0
33,32.0,0.01,512.0,512.0,5.0
34,128.0,0.0001,256.0,256.0,2.0
35,128.0,0.001,512.0,512.0,6.0
36,64.0,0.01,32.0,32.0,5.0
37,128.0,0.0001,64.0,64.0,6.0
38,64.0,0.001,32.0,32.0,2.0
39,64.0,0.01,256.0,256.0,2.0
40,128.0,0.01,256.0,256.0,3.0
41,128.0,0.001,256.0,256.0,2.0
42,32.0,0.001,128.0,128.0,4.0
43,64.0,0.001,512.0,512.0,4.0
44,32.0,0.01,64.0,64.0,5.0
45,32.0,0.001,32.0,32.0,2.0
46,64.0,0.001,512.0,512.0,3.0
47,64.0,0.001,32.0,32.0,6.0
48,128.0,0.0001,128.0,128.0,3.0
49,32.0,0.0001,256.0,256.0,3.0
